[3/12/20 7:35 PM]|JDBCBroker|JDBCBroker|Error|NOTAG|null<Could not load driver class[com.mysql.jdbc.Driver]>
[3/12/20 8:02 PM]|Scout|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1146: Table 'library.scout' doesn't exist>
[3/12/20 9:05 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '' for column 'dateOfBirth' at row 1>
[3/12/20 9:36 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '' for column 'dateOfBirth' at row 1>
[3/12/20 9:39 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '' for column 'dateOfBirth' at row 1>
[3/15/20 9:44 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1990-14-03' for column 'dateOfBirth' at row 1>
[3/15/20 9:45 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1990-14-03' for column 'dateOfBirth' at row 1>
[3/15/20 9:55 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: Data truncation: Data too long for column 'status' at row 1>
[3/15/20 9:55 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: Data truncation: Data too long for column 'status' at row 1>
[3/15/20 9:56 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: Data truncation: Data too long for column 'status' at row 1>
[3/15/20 9:57 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: Data truncation: Data too long for column 'status' at row 1>
[3/15/20 9:57 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1406: Data truncation: Data too long for column 'status' at row 1>
[3/15/20 10:43 PM]|TLC|swapToView|Error|NOTAG|null<Missing view for display >
[3/16/20 6:49 PM]|Scout|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '@f1f1a3a[styleClass=text-input text-field])' at line 1>
[3/16/20 7:31 PM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1>
[3/17/20 9:10 AM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1950-20-08' for column 'dateOfBirth' at row 1>
[3/17/20 9:13 AM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '2020-17-03' for column 'dateOfBirth' at row 1>
[3/17/20 9:44 AM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1991-19-07' for column 'dateOfBirth' at row 1>
[3/17/20 9:44 AM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1991-19-07' for column 'dateOfBirth' at row 1>
[3/17/20 9:46 AM]|Scout|insertAutoIncrementalPersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1991-19-07' for column 'dateOfBirth' at row 1>
[3/17/20 11:17 AM]|Scout|updatePersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1990-14-03' for column 'dateOfBirth' at row 1>
[3/17/20 11:21 AM]|Scout|updatePersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1989-29-07' for column 'dateOfBirth' at row 1>
[3/17/20 11:21 AM]|Scout|updatePersistentState|Error|NOTAG|null<SQL Exception: 1292: Data truncation: Incorrect date value: '1989-29-07' for column 'dateOfBirth' at row 1>
[3/17/20 4:45 PM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''Active' at line 1>
[3/17/20 5:17 PM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''Active' at line 1>
[3/17/20 5:17 PM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''Active' at line 1>
[3/17/20 5:17 PM]|ScoutCollection|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''Active' at line 1>
